code,name,shares,weight,market_value_100m
2330,台積電,188000,9.38,4.53
2383,台光電,77000,7.71,3.72
2454,聯發科技,74000,5.63,2.72
2345,智邦科技,110000,5.06,2.44
6669,緯穎科技服務,43000,4.46,2.15
6223,旺矽科技,36000,4.39,2.12
2327,國巨*,303000,4.21,2.03
8046,南電,170000,4.2,2.02
3037,欣興,232000,3.97,1.91
3017,奇鋐科技,80000,3.85,1.86
2308,台達電,98000,3.73,1.8
3665,貿聯-KY,71000,2.95,1.42
2368,金像電,135000,2.74,1.32
3711,日月光投資控股,207000,2.72,1.31
5274,信驊科技,8800,2.57,1.24
3653,健策,30000,2.19,1.06
7769,鴻勁精密,16000,2.16,1.04
2303,聯電,700000,1.95,0.94
6515,穎崴科技,13000,1.79,0.87
6274,台燿,68000,1.74,0.84
4958,臻鼎-KY,107000,1.13,0.54
2360,致茂電子,26000,1.09,0.52
2472,立隆電子工業,162000,0.92,0.44
8210,勤誠興業,38000,0.92,0.44
2344,華邦電子,260000,0.84,0.4
3023,信邦,113000,0.72,0.35
3044,健鼎科技,78000,0.65,0.32
8996,高力熱處理工業,32000,0.65,0.31
2885,元大金,493000,0.63,0.3
2455,全新,101000,0.62,0.3
5289,宜鼎國際,22000,0.59,0.29
7750,新  代,12000,0.51,0.24
6187,萬潤,24000,0.5,0.24
6531,愛普科技,27000,0.48,0.23
3189,景碩科技,31000,0.48,0.23
3264,欣銓科技,107000,0.47,0.22
2449,京元電子,77000,0.45,0.21
2486,一詮精密,100000,0.45,0.22
3443,創意,5000,0.43,0.21
6438,迅得機械,140000,0.43,0.21
6147,頎邦,120000,0.43,0.21
8150,南茂科技,180000,0.39,0.19
2313,華通,90000,0.39,0.19
6213,聯茂,50000,0.37,0.18
5439,高技,65180,0.35,0.17
5536,聖暉*,12000,0.3,0.14
2467,志聖,27000,0.3,0.14
6139,亞翔,17000,0.29,0.14
6510,精測,5000,0.27,0.13
6805,富世達,9000,0.26,0.13
3211,順達,30000,0.24,0.11
3357,西北臺慶科技,50000,0.23,0.11
3167,大量,15000,0.23,0.11
3105,穩懋,30000,0.21,0.1
8358,金居,20000,0.16,0.08
2404,漢唐,5000,0.12,0.06
3026,禾伸堂,8000,0.11,0.05
