code,name,shares,weight,market_value_100m
2330,台積電,179000,9.99,4.32
2383,台光電,51000,6.5,3.01
4958,臻鼎-KY,562000,6.21,2.55
2454,聯發科技,69000,6.18,2.72
2327,國巨*,408000,5.25,2.19
2308,台達電,115000,4.72,2.01
6278,台表科,665000,3.17,1.37
3037,欣興,115000,3.14,1.33
3443,創意,22000,3.02,1.35
8046,南電,95000,2.85,1.12
2472,立隆電子工業,528000,2.8,1.15
3653,健策,20000,2.62,1.15
8996,高力熱處理工業,83000,2.52,0.99
6831,邁科科技,171000,2.35,1.01
6223,旺矽科技,19000,2.24,0.96
3189,景碩科技,106000,2.24,0.97
6239,力成科技,331000,2.12,0.92
3017,奇鋐科技,26000,2.01,0.82
1303,南亞,341000,1.8,0.71
2344,華邦電子,407000,1.75,0.74
7751,竑騰,38000,1.75,0.75
6415,矽力杰,156000,1.7,0.73
3363,上詮,103000,1.68,0.73
3042,台灣晶技,371000,1.65,0.71
3661,世芯-KY,18000,1.61,0.7
2408,南亞科技,124000,1.55,0.64
8210,勤誠興業,65000,1.45,0.63
8021,尖點,144000,1.41,0.61
2345,智邦科技,27000,1.31,0.55
6274,台燿,37000,1.24,0.57
3693,營邦,94000,1.21,0.52
2360,致茂電子,25000,1.15,0.49
6830,汎銓,67000,0.82,0.36
5269,祥碩,22000,0.75,0.32
3711,日月光投資控股,35000,0.49,0.21
6182,合晶,157000,0.39,0.17
2467,志聖,25000,0.34,0.15
2368,金像電,14000,0.33,0.15
4583,台灣精銳,30000,0.33,0.14
3131,弘塑科技,5000,0.29,0.12
6770,力積電,127000,0.2,0.09
6526,達發,12000,0.17,0.07
3665,貿聯-KY,3000,0.14,0.06
1802,台玻,90000,0.12,0.05
6531,愛普科技,5000,0.11,0.05
4749,新應材,5086,0.09,0.04
6213,聯茂,6000,0.08,0.03
3533,嘉澤端子工業,2000,0.07,0.03
2881,富邦金融控股,20000,0.07,0.03
2882,國泰金,25000,0.06,0.03
2317,鴻海精密工業,9000,0.05,0.02
2382,廣達電腦,6000,0.05,0.02
2449,京元電子,6300,0.04,0.02
