code,name,shares,weight,market_value_100m
2330,台積電,162000,4.06,3.99
2603,長榮海運,1526000,3.55,3.49
3045,台灣大哥,2373000,2.84,2.8
5876,上海商銀,5496000,2.72,2.68
2059,川湖科技,21000,2.67,2.92
6446,藥華醫藥,180424,2.57,2.39
2618,長榮航,5919000,2.55,2.51
2379,瑞昱,362000,2.54,2.64
1303,南亞,1063000,2.53,2.45
3008,大立光,38000,2.51,2.53
2408,南亞科技,441000,2.38,2.28
6187,萬潤,165000,2.32,2.26
5871,中租-KY,1908840,2.23,2.2
6139,亞翔,290000,2.18,2.15
1402,遠東新,7040000,2.05,2.02
2383,台光電,36000,1.95,1.98
1102,亞泥,5128000,1.83,1.81
3264,欣銓科技,797000,1.82,1.79
2542,興富發,3571000,1.73,1.7
3037,欣興,178000,1.72,1.69
6669,緯穎科技服務,70741,1.68,1.76
2344,華邦電子,801000,1.53,1.44
3017,奇鋐科技,44000,1.47,1.5
6548,長科*,2010000,1.44,1.42
1326,台化,1980000,1.42,1.4
3189,景碩科技,175000,1.42,1.4
2467,志聖,221000,1.37,1.35
2395,研華,199000,1.33,1.35
2301,光寶科技,446000,1.32,1.33
2006,東和鋼鐵,1579000,1.31,1.29
3711,日月光投資控股,207000,1.3,1.29
6213,聯茂,248000,1.28,1.26
2464,盟立,606000,1.2,1.18
4763,濟南大自然新材料股份有限公司,2382000,1.19,1.17
8046,南電,109000,1.13,1.14
3653,健策,19000,1.07,1.07
3450,聯鈞,182000,0.97,0.96
2303,聯電,685000,0.95,0.98
6584,南俊國際,149000,0.91,0.9
3443,創意,14000,0.85,0.83
2633,台灣高鐵,3057000,0.81,0.8
2845,遠東國際商業銀行股份有限公司,5656094,0.79,0.77
2455,全新,144000,0.75,0.74
3234,光環,372000,0.74,0.73
1229,聯華實業,1678000,0.71,0.7
3006,晶豪,235000,0.71,0.7
3532,台勝科,177000,0.71,0.7
4967,十銓,249000,0.71,0.7
8021,尖點,155000,0.71,0.7
3260,威剛科技,165000,0.69,0.68
5351,鈺創,585000,0.69,0.68
6214,精誠,367000,0.69,0.68
7750,新  代,29000,0.68,0.67
1409,新纖,2720000,0.67,0.67
2357,華碩,68000,0.67,0.66
2615,萬海,592000,0.67,0.68
3044,健鼎科技,135000,0.66,0.65
5904,寶雅國際,902000,0.66,0.65
2351,順德,278000,0.64,0.63
3665,貿聯-KY,32000,0.63,0.66
8039,台虹科技,211000,0.63,0.62
4958,臻鼎-KY,117000,0.6,0.59
1560,中砂,73000,0.53,0.53
6426,統新,151000,0.47,0.46
6173,信昌電陶,160000,0.44,0.44
1808,潤隆,1159000,0.41,0.4
6177,達麗,839000,0.41,0.4
2520,冠德,1084000,0.4,0.4
2851,中央再保,855000,0.4,0.39
2903,遠百,1770000,0.4,0.4
2404,漢唐,36000,0.39,0.38
2850,新光產險,242000,0.39,0.38
5534,長虹建設,505000,0.39,0.38
6670,復盛應用科技,136000,0.39,0.38
9933,中鼎,994619,0.39,0.39
1907,永豐餘,1283000,0.38,0.37
2897,王道銀行,3028000,0.34,0.33
3374,精  材,67000,0.32,0.32
9802,鈺齊國際,445000,0.32,0.32
2454,聯發科技,6000,0.29,0.29
3661,世芯-KY,7000,0.29,0.28
6592,和潤企業,387000,0.24,0.23
8415,大國鋼,635000,0.24,0.24
5274,信驊科技,1200,0.23,0.23
6223,旺矽科技,3000,0.18,0.16
2313,華通,66000,0.15,0.15
6005,群益證券,444876,0.15,0.15
7780,大研生醫*,705000,0.12,0.12
5306,桂盟,122000,0.11,0.11
6274,台燿,7000,0.1,0.1
2812,台中銀,263846,0.05,0.05
2801,彰銀,159175,0.04,0.04
5880,合作金庫,154150,0.04,0.04
6531,愛普科技,4000,0.04,0.04
2885,元大金,44880,0.03,0.03
2546,根基,19560,0.02,0.02
5289,宜鼎國際,1355,0.02,0.02
4123,晟德,30842,0.01,0.01
1795,美時製藥,572,0.0,0.0
