code,name,shares,weight,market_value_100m
2330,台積電,162000,4.04,3.99
2603,長榮海運,1526000,3.57,3.53
3045,台灣大哥,2373000,2.89,2.85
2059,川湖科技,21000,2.68,2.6
5876,上海商銀,5496000,2.67,2.63
1303,南亞,1063000,2.63,2.51
2379,瑞昱,362000,2.55,2.55
2618,長榮航,5919000,2.51,2.47
6446,藥華醫藥,180424,2.41,2.43
2408,南亞科技,441000,2.3,2.31
6139,亞翔,290000,2.21,2.18
5871,中租-KY,1908840,2.18,2.15
6187,萬潤,165000,2.14,2.19
1402,遠東新,7040000,2.04,2.02
2383,台光電,36000,1.96,1.94
3264,欣銓科技,797000,1.94,1.91
1102,亞泥,5128000,1.84,1.82
3037,欣興,178000,1.79,1.77
2542,興富發,3571000,1.68,1.66
6669,緯穎科技服務,70741,1.68,1.64
3008,大立光,24000,1.63,1.65
3017,奇鋐科技,44000,1.54,1.49
3189,景碩科技,175000,1.47,1.45
2344,華邦電子,801000,1.46,1.47
6548,長科*,2010000,1.44,1.42
1326,台化,1980000,1.43,1.41
3711,日月光投資控股,207000,1.36,1.32
2395,研華,199000,1.33,1.31
2301,光寶科技,446000,1.32,1.3
2006,東和鋼鐵,1579000,1.3,1.28
6213,聯茂,248000,1.3,1.29
2467,志聖,221000,1.29,1.27
2464,盟立,606000,1.19,1.17
8046,南電,109000,1.18,1.21
4763,濟南大自然新材料股份有限公司,2382000,1.17,1.15
3653,健策,19000,1.12,1.09
2303,聯電,685000,0.99,0.97
3450,聯鈞,182000,0.96,0.95
3443,創意,14000,0.88,0.83
6584,南俊國際,149000,0.84,0.83
2633,台灣高鐵,3057000,0.81,0.79
2455,全新,144000,0.78,0.77
2845,遠東國際商業銀行股份有限公司,5656094,0.77,0.76
3006,晶豪,235000,0.74,0.73
3234,光環,372000,0.74,0.73
3532,台勝科,177000,0.74,0.73
1229,聯華實業,1678000,0.71,0.7
4967,十銓,249000,0.7,0.69
6214,精誠,367000,0.7,0.69
1409,新纖,2720000,0.69,0.68
3044,健鼎科技,135000,0.69,0.68
8021,尖點,155000,0.69,0.68
2357,華碩,68000,0.68,0.67
3260,威剛科技,165000,0.68,0.68
5351,鈺創,585000,0.68,0.68
2351,順德,278000,0.66,0.65
2615,萬海,592000,0.66,0.69
5904,寶雅國際,902000,0.65,0.64
7750,新  代,29000,0.65,0.64
3665,貿聯-KY,32000,0.63,0.63
4958,臻鼎-KY,117000,0.59,0.59
8039,台虹科技,211000,0.59,0.58
1560,中砂,73000,0.54,0.53
6426,統新,151000,0.49,0.49
6173,信昌電陶,160000,0.48,0.47
9933,中鼎,994619,0.41,0.4
1808,潤隆,1159000,0.4,0.4
2520,冠德,1084000,0.4,0.4
2851,中央再保,855000,0.4,0.39
2903,遠百,1770000,0.4,0.4
6177,達麗,839000,0.4,0.4
2404,漢唐,36000,0.39,0.38
2850,新光產險,242000,0.39,0.38
1907,永豐餘,1283000,0.38,0.37
5534,長虹建設,505000,0.38,0.38
6670,復盛應用科技,136000,0.38,0.38
2897,王道銀行,3028000,0.33,0.33
3374,精  材,67000,0.33,0.33
9802,鈺齊國際,445000,0.3,0.29
2454,聯發科技,6000,0.29,0.28
3661,世芯-KY,7000,0.29,0.28
6592,和潤企業,387000,0.24,0.23
5274,信驊科技,1200,0.23,0.22
8415,大國鋼,635000,0.23,0.23
6223,旺矽科技,3000,0.17,0.17
2313,華通,66000,0.15,0.15
6005,群益證券,444876,0.14,0.14
5306,桂盟,122000,0.12,0.11
7780,大研生醫*,705000,0.12,0.12
6274,台燿,7000,0.1,0.09
5880,合作金庫,154150,0.04,0.04
6531,愛普科技,4000,0.04,0.04
2885,元大金,44880,0.03,0.03
2546,根基,19560,0.02,0.02
5289,宜鼎國際,1355,0.02,0.02
4123,晟德,30842,0.01,0.01
1795,美時製藥,572,0.0,0.0
