code,name,shares,weight,market_value_100m
2330,台積電,120000,3.04,2.88
2357,華碩,364000,2.89,2.8
2412,中華電信,1845000,2.63,2.56
2881,富邦金融控股,1977025,2.63,2.54
2891,中國信託金融控股,3591000,2.36,2.28
2382,廣達電腦,669000,2.32,2.25
2303,聯電,1601000,2.29,2.23
3034,聯詠,392000,2.04,1.96
3045,台灣大哥,1723000,1.99,1.93
1216,統一企業,2445000,1.95,1.88
6446,藥華醫藥,163425,1.94,1.93
2404,漢唐,154000,1.85,1.79
2383,台光電,35000,1.84,1.79
4904,遠傳電信,1707000,1.81,1.76
6274,台燿,125000,1.72,1.69
4958,臻鼎-KY,324000,1.69,1.81
3037,欣興,178000,1.65,1.61
2912,統一超,606000,1.48,1.44
2454,聯發科技,36000,1.44,1.39
2618,長榮航,3373000,1.42,1.38
2633,台灣高鐵,5261000,1.41,1.37
3189,景碩科技,165000,1.34,1.3
1102,亞泥,3859000,1.3,1.26
5876,上海商銀,2779000,1.29,1.24
3293,鈊象電子,167000,1.23,1.2
5434,崇越,208000,1.2,1.18
6531,愛普科技,126000,1.18,1.14
5871,中租-KY,942000,1.17,1.14
8046,南電,92000,1.17,1.2
6223,旺矽科技,18000,1.16,1.08
3711,日月光投資控股,172000,1.15,1.13
6196,帆宣,203000,1.14,1.1
3702,大聯大,880000,1.1,1.07
8021,尖點,262000,1.1,1.07
6213,聯茂,306000,1.09,1.05
1402,遠東新,3787000,1.06,1.03
2327,國巨*,141000,1.01,0.99
2377,微星,644000,1.01,0.98
8358,金居,241000,1.01,0.98
2347,聯強,1087000,0.99,0.95
3026,禾伸堂,131000,0.94,0.91
8016,矽創,283000,0.87,0.84
2474,可成,403000,0.8,0.77
1326,台化,1035000,0.77,0.74
1303,南亞,341000,0.69,0.71
2360,致茂電子,31000,0.69,0.66
3008,大立光,16000,0.68,0.66
3532,台勝科,155000,0.68,0.65
8261,富鼎,275000,0.67,0.65
3443,創意,14000,0.63,0.61
6121,新  普,158000,0.62,0.6
6182,合晶,459000,0.6,0.58
7769,鴻勁精密,9000,0.6,0.58
2059,川湖科技,7000,0.59,0.57
6285,啟碁科技,220000,0.59,0.57
2049,上銀科技,173000,0.57,0.55
1409,新纖,2170000,0.53,0.52
5536,聖暉*,43000,0.53,0.52
6139,亞翔,60000,0.53,0.51
2855,統一證券,1130000,0.52,0.5
8096,擎亞科技,361000,0.52,0.51
1560,中砂,69000,0.5,0.48
2467,志聖,90000,0.5,0.48
2337,旺宏,358000,0.48,0.46
6147,頎邦,263000,0.48,0.46
3167,大量,66000,0.47,0.45
4919,新唐科技,325000,0.47,0.46
2481,強茂,305000,0.46,0.44
5483,中美晶,209000,0.46,0.44
1785,光洋科,397000,0.45,0.44
3005,神基科技,373000,0.44,0.42
3481,群創光電,822000,0.44,0.43
6831,邁科科技,63000,0.44,0.42
8064,東捷,387000,0.44,0.43
2634,漢翔公司,674000,0.43,0.42
2006,東和鋼鐵,559000,0.41,0.4
2105,正新,1259000,0.41,0.39
2606,裕民,626000,0.41,0.4
2385,群光,362000,0.4,0.38
2885,元大金,607000,0.4,0.38
4938,和碩,449000,0.4,0.39
2206,三陽工業,617000,0.39,0.37
2646,星宇航空,1789000,0.39,0.38
6176,瑞儀光電,433000,0.39,0.38
1795,美時製藥,196000,0.38,0.37
2345,智邦科技,16000,0.38,0.37
2371,大同,1382000,0.38,0.36
3596,智易科技,195000,0.38,0.36
2458,義隆,199000,0.35,0.35
2472,立隆電子工業,123000,0.35,0.34
2478,大毅,248000,0.35,0.34
5274,信驊科技,2200,0.35,0.34
3044,健鼎科技,74000,0.31,0.3
3090,日電貿,175000,0.31,0.3
2645,長榮航太,145000,0.3,0.29
1229,聯華實業,656627,0.29,0.28
1907,永豐餘,1013000,0.29,0.28
2882,國泰金,286000,0.29,0.28
6023,元大期貨,317300,0.29,0.28
8210,勤誠興業,24000,0.29,0.28
9939,宏全國際,216000,0.29,0.28
8415,大國鋼,685000,0.27,0.26
9914,美利達,338000,0.27,0.26
2204,中華,478000,0.26,0.25
2501,國建,1132000,0.26,0.26
2897,王道銀行,2537000,0.26,0.25
5904,寶雅國際,40000,0.26,0.25
1513,中興電工,154000,0.25,0.25
3264,欣銓科技,110000,0.25,0.24
6197,佳必琪,77000,0.25,0.24
9958,世紀鋼鐵結構,224000,0.25,0.25
3227,原相,116000,0.24,0.23
3592,瑞鼎科技,99000,0.24,0.23
6890,來億-KY,140000,0.24,0.24
8081,致新,88000,0.23,0.22
2368,金像電,11000,0.11,0.1
2308,台達電,3000,0.06,0.06
5903,全家商店,30000,0.06,0.06
3131,弘塑科技,1000,0.03,0.03
6592,和潤企業,10140,0.01,0.01
