code,name,shares,weight,market_value_100m
2330,台積電,189000,8.82,4.6
2383,台光電,80000,8.74,4.55
2454,聯發科技,74000,6.0,3.13
6669,緯穎科技服務,43000,5.01,2.61
3017,奇鋐科技,80000,4.92,2.56
2345,智邦科技,110000,4.79,2.5
6223,旺矽科技,36000,4.49,2.34
3037,欣興,232000,4.45,2.32
2308,台達電,110000,3.98,2.07
8046,南電,170000,3.97,2.07
3665,貿聯-KY,81000,3.43,1.79
5274,信驊科技,8800,2.96,1.54
7769,鴻勁精密,22000,2.86,1.49
3653,健策,30000,2.67,1.39
3711,日月光投資控股,207000,2.49,1.3
2327,國巨*,180000,2.29,1.19
2303,聯電,900000,2.15,1.12
6274,台燿,68000,2.09,1.09
6515,穎崴科技,14000,1.81,0.94
2368,金像電,74000,1.43,0.75
2360,致茂電子,26000,1.15,0.6
2344,華邦電子,332000,1.13,0.59
4958,臻鼎-KY,107000,0.98,0.51
8210,勤誠興業,43000,0.82,0.43
8996,高力熱處理工業,32000,0.79,0.41
2472,立隆電子工業,162000,0.79,0.41
3583,辛耘,54000,0.75,0.39
3044,健鼎科技,78000,0.74,0.39
2455,全新,101000,0.74,0.39
3023,信邦,113000,0.68,0.35
2486,一詮精密,150000,0.67,0.35
2885,元大金,493000,0.66,0.34
6187,萬潤,27000,0.66,0.34
5289,宜鼎國際,22000,0.65,0.34
7750,新  代,12000,0.54,0.28
3443,創意,5000,0.53,0.28
3189,景碩科技,31000,0.51,0.26
8150,南茂科技,280000,0.5,0.26
3264,欣銓科技,107000,0.47,0.25
3131,弘塑科技,9000,0.46,0.24
1326,台化,400000,0.46,0.24
6213,聯茂,50000,0.45,0.23
6438,迅得機械,140000,0.4,0.21
3450,聯鈞,40000,0.4,0.21
2449,京元電子,80850,0.39,0.2
2313,華通,90000,0.37,0.19
6805,富世達,9000,0.32,0.16
6139,亞翔,19000,0.29,0.15
8358,金居,35000,0.28,0.15
2467,志聖,27000,0.28,0.15
3211,順達,30000,0.23,0.12
6531,愛普科技,13000,0.22,0.11
