code,name,shares,weight,market_value_100m
2330,台積電,588000,13.77,14.2
2376,技嘉,1177000,4.45,4.42
2027,大成鋼,7182000,3.48,3.62
2412,中華電信,2587000,3.38,3.52
4904,遠傳電信,3474000,3.32,3.51
3008,大立光,72000,3.23,3.36
6669,緯穎科技服務,49000,2.86,2.95
2383,台光電,52000,2.84,2.98
2603,長榮海運,1344000,2.78,2.9
2345,智邦科技,124000,2.71,2.75
6446,藥華醫藥,195000,2.71,2.81
3105,穩懋,656000,2.44,2.54
6442,光紅建聖,148000,2.23,2.32
2408,南亞科技,447000,2.21,2.16
3081,聯亞,83000,2.13,2.21
3017,奇鋐科技,68000,2.09,1.98
2454,聯發科技,50000,2.03,2.01
4958,臻鼎-KY,443000,2.03,2.09
3036,文曄,788000,1.63,1.69
6147,頎邦,1019000,1.61,1.68
3037,欣興,160000,1.54,1.6
2308,台達電,82000,1.49,1.47
3711,日月光投資控股,248000,1.49,1.54
3653,健策,32000,1.43,1.48
6187,萬潤,116000,1.42,1.47
8996,高力熱處理工業,113000,1.4,1.32
2610,華航,6826000,1.32,1.37
2059,川湖科技,11000,1.29,1.32
3131,弘塑科技,49000,1.24,1.29
7769,鴻勁精密,18000,1.17,1.22
8299,群聯電子,53000,1.16,1.17
2344,華邦電子,611000,1.04,1.08
1216,統一企業,1303000,0.96,0.99
2368,金像電,98000,0.95,0.98
2327,國巨*,89000,0.57,0.54
8046,南電,48000,0.56,0.61
2303,聯電,413000,0.49,0.51
2395,研華,50000,0.34,0.34
6223,旺矽科技,5000,0.31,0.33
3529,力旺電子,10000,0.26,0.27
1802,台玻,393000,0.21,0.22
2049,上銀科技,55000,0.2,0.21
2891,中國信託金融控股,306000,0.2,0.2
3665,貿聯-KY,9000,0.19,0.19
2881,富邦金融控股,154000,0.19,0.2
2317,鴻海精密工業,64000,0.16,0.17
2360,致茂電子,5000,0.11,0.11
6488,環球晶,10000,0.1,0.1
6415,矽力杰,6000,0.03,0.03
3189,景碩科技,2000,0.02,0.02
